	TCGA.P7.A5NY.01A	TCGA.QR.A705.01A	TCGA.QR.A6H3.01A	TCGA.QR.A706.01A	TCGA.QR.A6GW.01A	TCGA.PR.A5PG.01A	TCGA.PR.A5PF.01A	TCGA.QR.A6GU.01A	TCGA.QR.A6H2.01A	TCGA.QR.A6GX.01A	TCGA.QR.A70E.01A	TCGA.QR.A703.01A	TCGA.P8.A6RY.01A	TCGA.QR.A6H0.01A	TCGA.QR.A70I.01A
UST	0.516695763	5.514602351	4.223399211	-0.270999289	-1.55189401	-2.505960193	5.930441549	0.914302261	-2.461869879	-1.208561948	0.298504861	0.051164642	-0.734133617	3.89542701	3.11801084
SAMD5	3.096835991	-1.497632166	-0.198891773	0	-2.133225927	3.63428055	-1.024726275	-3.004939514	0.129631603	-2.046659447	-1.742876009	-1.823936561	-0.783732302	-0.420447121	1.404464528
PLAGL1	-1.496118394	2.454496066	-0.595910408	1.196062849	-0.918355856	-2.014407324	1.772120856	2.487766997	-2.828321418	2.51848956	1.393234818	0.428445497	1.663750307	0.88948639	0.09997283
TXLNB	-1.338577954	-1.329809123	-1.45910627	0.03697936	-2.122579693	-1.091772267	1.626804107	-2.143224726	-1.954541801	-1.042338773	-1.253128071	-0.008589624	0.036190132	-0.143655228	1.193028501
SLC35D3	1.917595139	3.175627963	2.1776675	1.358876761	-4.768643603	0.190317433	-2.735193858	2.044021754	-5.155824918	0.570936112	1.76080453	1.195979995	0.186986326	2.237108908	2.320828059
SAMD3	-3.1093442	-1.293235703	-2.159568473	2.041121874	0.216506137	-2.377142015	0.004396816	-1.106639892	4.583414903	-3.649574868	-3.123424589	-0.65651868	-0.834149427	0.00393075	0.01
TMEM200A	-3.232676888	-1.738448979	-1.654805476	0.938543356	1.180882751	-5.474431765	0.977875414	0.843580526	3.019672327	-3.531896479	-2.166994941	-0.220056544	-1.059312966	-0.300264372	-1.836349129
CTGF	-1.344106205	-0.077839161	2.0705431	2.277767533	-1.606018379	-2.120563908	-1.365945968	-0.190284755	-1.631554887	-0.738646387	-1.207230355	1.864460015	-0.54882615	1.585775313	3.074210385
EYA4	-2.562683719	-2.746550488	-1.553952513	-1.090252731	2.835682194	2.769481656	3.647466112	-2.238011508	0.01	-1.611055787	-2.669869436	-3.01026333	2.929306486	0.609517368	-2.924126356
TCF21	0.035395534	-0.646703604	-0.053587311	-0.684321109	-0.822862321	-0.923253401	0.669780566	0.69369477	-1.345502286	0.456349738	1.297882629	0.352568961	-0.380260544	-1.060041415	-1.146262139
CLVS2	0.01	-0.645462784	-3.252855901	0.395261593	-3.221198754	1.671729401	0.891969442	1.586644055	-1.55566638	0.244135954	-0.081589066	0.569137708	1.181066414	-2.481710104	2.361147213
TRDN	-2.026559066	-0.210284125	3.36075772	1.3084204	0.01	0.01	0.01	-1.023642655	0.01	-1.244755485	-0.718712401	0.525927671	0.01	1.46120704	-1.388105836
TPD52L1	0.229677407	-0.617132745	0.756016233	0.184573278	-1.331963719	-1.428015187	0.41745532	-1.015502861	0.599371172	2.214662992	-2.186808789	-1.143932258	1.687443386	2.193478836	-1.572365666
RSPO3	-0.941867002	0.901254643	2.072297557	1.398493649	-3.061509571	-2.23708984	0.727443227	0.672807485	-1.478434237	0.451765533	-1.152459024	-0.702358771	0.056665131	2.846609984	1.682982445
LRRC14B	-1.170512911	0.01	0.01	0.01	0.01	0.01	0.602309605	-0.167728937	-0.979162222	0.933157017	2.660998245	1.604327469	1.42673804	-1.490054414	0.01
NKD2	-0.001868216	1.041702251	1.719703501	-0.645977676	-1.220618897	-3.62714466	-0.364286655	-3.356700975	0.001868216	-3.577681369	0.703352443	1.514902737	-2.762277857	0.993359925	0.185995262
IRX2	-0.373472665	1.250047786	-0.686636582	-0.038559547	-0.350175286	0.01	0.399283503	-2.370622602	0.402851652	0.578155266	0.01	2.401311062	-0.776331919	-1.108118014	1.171941199
IRX1	0.01	0.75485128	2.499968154	1.826161414	-0.207902054	-0.913995631	0.126486595	-1.64341951	-1.454985231	0.457334008	-0.33838206	-0.093849184	0.01	3.525931513	0.577193466
PPP1R14C	-3.01439208	1.801826339	2.579367974	0.01	0.01	-2.282211549	5.104193814	-1.011608105	7.12540112	-0.647625998	2.151531687	0.01	0.167806753	3.774547674	1.324632009
VIP	-3.546557108	0.407067244	0.625636555	1.188872463	8.058557922	-0.612709949	3.815112067	-1.695838235	-2.355219604	-2.501876732	-1.975674996	-0.579166171	-4.271296549	1.350983215	-2.645061971
OPRM1	2.569307223	-6.022816707	0.01	0.402795947	1.585180487	0.8590112	-2.74435657	-3.836274563	-3.325743136	-4.735421719	-4.946211017	-3.549666461	-6.241796839	0.01	-3.200489246
FNDC1	-2.049374	-0.358750341	0	1.502044378	0.451997089	-3.62198599	-4.668938413	1.032730717	-1.44298061	-0.016133576	-1.811884333	1.922343118	1.044221613	0.000207591	6.219635447
SLC22A3	-1.973951274	4.753481112	5.965968614	3.74454383	1.464429889	-2.701090856	2.398273409	-0.971179432	0.01	-2.651627565	-0.318122363	-0.006499968	4.146801766	7.389093009	1.919410482
PRR18	3.637690004	2.45384467	-0.260495054	-1.51922736	0.01	0.01	-0.022516921	1.994069691	0.244085634	1.571395771	4.023570701	1.958757557	-1.935010223	0.733060767	-2.893851802
DACT2	0.01	0.879665719	0.750320526	0.076502439	0.01	0.01	-2.070617012	0.01	0.01	0.01	0.01	0.030975304	0.01	-0.993056028	0.01
THBS2	0.218363974	0.691348266	-2.839574525	-1.036332736	1.670115588	-2.56895408	-2.08862164	0.850938084	-0.854477287	1.13994813	-1.180025627	1.698693981	0.609530814	-1.650342432	0.900578886
HAS1	-0.055982105	2.001206306	4.74126656	-1.502384306	2.945338197	-2.783281445	-2.327601962	1.487355108	2.260928688	3.353772664	0.599831493	3.037002139	0.081788974	2.865391654	4.303041432
FPR1	-0.855958174	-0.77676807	0.526838538	2.024937232	0.76509597	-1.01267924	-2.142111293	-1.00521392	-0.308456411	-0.936753751	-2.944007633	0.753018729	-2.317684532	-1.14703849	2.462892436
CACNG7	0.01	4.503184103	3.051903788	-5.22180407	-2.152595602	-4.917632202	-4.462059225	4.611855854	2.823823338	3.890075707	4.465384278	-1.945456555	3.4067517	4.273671886	3.883493582
PRKCG	-1.424757998	4.561391704	3.654430454	0.01	-1.986422057	0.01	-1.236897982	-1.421841587	6.561083939	-1.642954417	3.497899145	-0.457233762	0.01	-0.159336999	0.01
SSC5D	-0.963516738	0.674123873	-0.532911572	0.48499293	0.658287754	0.537821088	-5.40319037	1.328391427	0.402504171	1.100407304	-1.487734376	-1.065841362	1.371380454	-1.826854729	0.144518196
SHISA7	-2.189425975	2.869216716	2.626654039	-1.983795489	0.842453683	-0.838270254	-1.001650107	-5.993940312	-2.805418874	0.974739698	4.4715935	1.865460185	-0.007298791	3.409778485	2.636091678
IL11	-1.935539181	2.916256963	2.129793261	-3.244442682	-0.426773727	-2.940270814	4.3691201	2.188239085	1.688795313	-1.305826075	2.672479341	-0.383123618	-1.075321521	2.204255705	-1.618939262
TMEM150B	-0.622310828	0.386495685	-0.157931599	-0.831745238	0.178606413	-1.112492036	-2.24188156	-2.426825165	-0.238332779	-1.062975494	0.200118942	1.859683611	0.752457257	-1.749283078	0.01
TNNI3	-2.622927259	0.19327232	2.523376816	0.01	0.01	-1.890746727	0.01	0.379856716	1.56851059	0.01	-2.31486621	0.01	2.144234075	3.186776405	0.01
TNNT1	0.01	0.656692048	2.33472627	0.01	-1.72117159	3.157768634	0.01	4.09123881	0.01	-1.37770395	-0.2666269	0.01	0.01	-1.479049033	0.01
TTYH1	-1.206250001	-0.006765894	5.362133039	3.122390508	-0.899134562	-1.538123804	-0.734682894	-0.083203941	-0.216532677	1.139353452	0.622463543	1.541399743	-2.132630238	5.280332214	1.416509062
MEIS3	-2.748313696	3.151610322	4.239091112	0.724116486	1.166485922	-2.147309994	-3.624674432	3.001167125	-0.688202064	2.820439632	3.725127992	3.25970392	3.528642575	3.297215462	2.696446686
GNG8	4.00341705	0.01	-3.174750523	0.01	4.172076129	-4.129271449	-4.088789222	0.01	-0.210755477	0.01	-2.853209914	-3.894087503	-3.679412905	0.01	0.01
PTGIR	2.264119669	-0.304540856	0.628995388	0.803947049	3.650621393	1.118248967	-2.890685768	-0.26046016	0.679236152	-0.97483602	-1.331476649	-0.104117849	-0.824185351	0.519826165	-0.392189318
HIF3A	0.158966546	-1.34680762	0.796860181	2.116822215	-1.66570868	0.460055566	1.788581914	0.521608375	-3.556586024	-0.539955204	2.267312531	1.504907274	3.35307015	1.56904669	1.080425426
GIPR	0.01	3.423989045	0.01	-1.466622303	0.01	2.500542606	-1.291839958	2.98254572	-2.288349284	0.01	0.287675761	-2.512175738	4.094819067	0.008066132	2.158891773
FOSB	-4.980904391	0.766389647	-0.570646883	-0.040512346	1.848123991	-1.473086256	-3.588304977	-2.741858651	1.383995836	-0.692392505	-5.454129728	-0.330062966	-3.214715021	0.447977724	3.545986647
APOC2	-2.429250322	-0.220774547	3.500730364	0.958789343	1.460324393	-0.270730201	-3.241456654	-2.619158852	-1.330997909	-0.647542032	-2.420914845	1.457046127	-1.510146395	0.694043448	0.140013638
APOC1	-0.929964962	0.78872458	-1.709858976	-2.23165974	0.579130788	-0.868556083	-3.378813478	-1.919986981	-0.277201511	0.016012707	-1.316194922	-0.610475657	-0.721492008	-1.582461609	-1.146703403
APOE	-1.404910302	2.085555697	1.545166582	-0.955563141	-0.162468903	-2.232088157	-2.379347656	-0.92905601	-0.321084938	0.785806375	-2.206414282	0.575344224	-0.876927311	0.257870227	-0.16774662
CEACAM16	-2.467131657	-0.650856716	0.01	0.01	0.01	0.265208632	0.01	0.01	-0.275664757	0.01	2.425784704	1.500358648	1.130119294	0.01	0.01
KCNN4	-2.217117202	0.014086022	2.322138629	1.532858321	-0.626739217	-1.484853638	-1.877313069	0.075150535	-1.610710514	-1.797986781	1.110672836	-0.171678002	1.068120182	2.175958267	-0.941146899
LYPD3	-2.232598747	0.042986656	0.624134861	0.239832241	-1.209268727	-2.17842866	2.540145286	1.677040379	3.262541366	-1.643550696	-0.401153938	0.194266083	3.534499894	1.971312159	-1.009107295
PSG9	0.01	0.01	0.01	0.01	1.990064044	0.01	2.980471467	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01
MIA	-1.366309409	2.601934714	6.92389095	3.07317419	-0.94002726	0.01	-3.314265497	-1.816235978	-3.434926894	0.01	0.772618807	3.802708065	-0.108856206	5.59891053	3.67069877
FCGBP	-0.334048005	1.033749578	-0.377637564	0.811054265	3.89391398	0.521260507	-2.635659828	-0.614236165	-1.047111255	0.765624352	0.963916138	1.939412811	-0.797418948	-0.614704194	-0.052457821
ZFP36	-2.266725952	1.041561885	-1.052857868	1.026196633	-0.25690621	-1.884682243	-0.535189201	-0.422967799	0.572996667	-0.350781634	-2.305629527	0.51215	-0.861944528	-1.173806615	2.735284813
DLL3	-3.132070776	3.207716972	6.529216747	0.01	-0.693636909	-3.399890244	-0.94421076	-3.129154365	2.674065652	0.350148775	4.465896795	-1.579584039	3.193088218	4.473159337	0.413409436
LGALS4	-0.838364072	0.240788879	1.33383548	0.85267935	-2.72206238	-2.42821779	0.01	0.01	0.01	0.01	2.147555539	0.614442059	-0.563191228	-0.15807797	0.01
LGALS7	-0.732287039	0.01	-0.630347109	0.01	0.706114187	0	-1.129389524	0.01	3.68153078	0.01	0.79804393	1.820169537	1.280001412	0.01	0.01
PPP1R14A	-1.257157779	-0.153199166	2.542237841	1.776767331	-0.21521885	-1.769327268	-1.088237986	-0.820756449	-0.425696428	-0.592495164	-2.06631982	1.426479882	-0.904407307	0.741366347	-0.178058957
